Record Type,Change Time Stamp,Serial Change Number,NHS Number,Superseded by NHS number,Primary Care Provider,Primary Care Provider Business Effective From Date,Current Posting,Current Posting Business Effective From Date,Previous Posting,Previous Posting Business Effective To Date,Name Prefix,Given Name,Other Given Name(s),Family Name,Previous Family Name,Date of Birth,Gender,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Postcode,PAF key,Usual Address Business Effective From Date,Reason for Removal,Reason for Removal Business Effective From Date,Date of Death,Death Status,Telephone Number (Home),Telephone Number (Home) Business Effective From Date,Telephone Number (Mobile),Telephone Number (Mobile) Business Effective From Date,E-mail address (Home),E-mail address (Home) Business Effective From Date,Preferred Language,Interpreter required,Invalid Flag,Record Identifier,Change Reason Code
New,20240524000000,11,6486670908,,NHS37C,20010804,CD0,20051017,AB9,20230411,Rev,Daryl,Ruthann,Atkinson,,19910503,0,84880 Dorton Junction,Esher,,Warrington,United Kingdom,WA5 2XP,H6K9H6G3,20050402,,,,,01618888888,20220428,07777777777,20240501,rlavignea@about.com,20240501,et,1,false,11,
Amended,20240524000000,12,2645838618,,NHSPS2,20230514,AB1,20221001,AB1,20230411,Mr,Agosto,Ashlee,Begwell,,19460116,1,779 Mendota Place,Diss,,York,United Kingdom,LE4 5NG,F5H6N2J7,20040213,,,,,01618888888,20231007,07799999999,20240501,adesousab@zdnet.com,20240501,en,0,false,12,CR1
Amended,20240524000000,13,3811926926,,NHSH23,20080805,XY2,20120529,YZ8,20230411,Mr,Melodee,,Waylett,Colecrough,19760318,1,22 Monument Junction,Hitchin,,Oldham,United Kingdom,S36 9NN,J7L2M4N9,20110409,,,,,01618888888,20231111,07799999999,20240501,ocolecroughc@un.org,20240501,eu,1,false,13,CR1
Amended,20240524000000,14,3274288756,,NHSJ23,20180319,IJ3,20120613,CD0,20230411,Rev,Tanitansy,Paco,Moline,,19991029,0,9962 Pine View Drive,Haywards Heath,,Peterborough,United Kingdom,AB42 0AY,A3B8Y6K9,20211003,,,,,01619999999,20210921,07799999999,20240501,pinnerstoned@utexas.edu,20240501,ur,1,false,14,CR1
Amended,20240524000000,15,1594248249,,NHS36A,20200626,IJ3,20130304,CD0,20230411,Mrs,Elisabeth,,Rene,Wadmore,20040225,1,3 Mockingbird Junction,Felixstowe,,Hartlepool,United Kingdom,SG18 8HD,B1R7D8Y6,20150907,,,,,01618888888,20220223,07888888888,20240501,kwadmoree@google.fr,20240501,vi,1,false,15,CR1
New,20240524000000,16,3211446095,,NHS16A,20050126,RS6,20141103,MN5,20230411,Mrs,Bobby,Mirabel,Kerwin,,20021231,9,8 Grover Alley,Edwinstowe,,Leicester,United Kingdom,SG14 1DB,K9H6G3F5,20120826,,,,,01617777777,20220308,07799999999,20240501,mcasellasf@miibeian.gov.cn,20240501,en,0,false,16,
New,20240524000000,17,7908883060,,NHS12A,20011001,ST5,20150330,AB1,20230411,Mrs,Norean,Woodman,Linskey,,20051218,0,39 East Way,Godalming,,Leicester,United Kingdom,TR12 7PY,B1R7D8Y6,20000806,,,,,01617777777,20200513,07888888888,20240501,wandricg@google.com.br,20240501,en,0,false,17,
Removed,20240524000000,18,0502565977,,NHSH23,20061222,WX7,20110823,YZ8,20230411,Honorable,Sukey,Antonie,Frith,,19811212,9,68 Bay Court,Falkirk,,Stockport,United Kingdom,HR9 7JF,G2K6P3W9,20210104,TRA,20230704,,,01619999999,20230106,07888888888,20240501,atillyerh@youku.com,20240501,ko,1,true,18,
Amended,20240524000000,19,8938212998,,NHS19C,20040405,CD0,20171208,IJ3,20230411,Mrs,Randolf,Marita,Gandy,,20050108,9,8 Carberry Drive,Weybridge,,Scunthorpe,United Kingdom,YO14 9TS,Q1W2P5R9,20051013,,,,,01618888888,20220427,07777777777,20240501,mwilkini@creativecommons.org,20240501,en,0,false,19,CR1
Removed,20240524000000,20,9069563738,,NHSJ23,20100112,AB1,20231118,ST5,20230411,Dr,Jammal,Tobias,Musgrave,,19591126,9,98081 Dixon Way,East Grinstead,,Blackburn,United Kingdom,PL1 4RW,Z3S4Q5X9,20150120,"",20230704,20210906,1,01617777777,20221122,07777777777,20240501,tgoldisj@google.com,20240501,en,0,true,20,
New,20240524000000,21,8309662335,,NHS37C,20191127,UV6,20180223,EF1,20230411,Ms,Juliann,,Eldritt,Briscam,20020509,2,241 Sachtjen Lane,Bideford,,Eastleigh,United Kingdom,TN31 6XW,Y6A3B8K9,20160426,,,,,01617777777,20200805,07888888888,20240501,dbriscamk@disqus.com,20240501,en,0,false,21,
New,20240524000000,22,7455605935,,NHS20B,20110308,IJ9,20080507,PQ4,20230411,Honorable,Adora,Rosalie,Collecott,,19770828,0,479 Northridge Parkway,Macclesfield,,Telford,United Kingdom,SY11 2RJ,Y6B1R7D8,20220202,,,,,01617777777,20220917,07777777777,20240501,rlerel@plala.or.jp,20240501,fr,1,false,22,
New,20240524000000,23,8365216639,,NHS16B,20091201,OP3,20130524,EF1,20230411,Mrs,Torin,Sancho,Kolakowski,Bosher,19760112,1,9 Maryland Park,Northallerton,,Aberdeen,United Kingdom,SG7 6UW,K9H6G3F5,20091114,,,,,01618888888,20220630,07777777777,20240501,sbosherm@yahoo.co.jp,20240501,sq,1,false,23,
New,20240524000000,24,9632422880,,NHS16B,20021210,IJ3,20220814,EF5,20230411,Honorable,Mattie,Verene,Semkins,,20040624,0,79048 Ludington Junction,Gainsborough,,Worthing,United Kingdom,IV3 6QT,B1R7D8Y6,20231109,,,,,01618888888,20230122,07777777777,20240501,vconnerryn@google.nl,20240501,ku,1,false,24,
Amended,20240524000000,25,8844325721,,NHS11A,20220511,RS6,20100722,CD0,20230411,Ms,Annelise,,Bichard,,19520624,1,40888 Grim Avenue,Melton Mowbray,,Leeds,United Kingdom,WA14 1BJ,L2E8F7T2,20011126,,,,,01617777777,20230412,07888888888,20240501,ntwopennyo@cnn.com,20240501,en,0,false,25,CR1
Amended,20240524000000,26,5867337235,,NHS32E,20050602,AB1,20050315,UV6,20230411,Mrs,Bret,Row,Brownbridge,,19910625,1,23462 Starling Terrace,Baldock,,Portsmouth,United Kingdom,DE56 0SR,R8P3X7Z4,20240428,,,,,01619999999,20210416,07799999999,20240501,rmcparlandp@cnn.com,20240501,en,0,false,26,CR1
New,20240524000000,27,1442761520,,NHS12A,20230217,ST5,20050709,CD3,20230411,Mrs,Fawnia,Raviv,Deeprose,,19910917,0,722 Havey Place,Nantwich,,Leicester,United Kingdom,AB53 5JH,L2M4N9J7,20140920,,,,,01619999999,20201109,07888888888,20240501,rletchq@mashable.com,20240501,en,0,false,27,
New,20240524000000,28,9957801902,,NHS16A,20161215,YZ8,20160207,MN5,20230411,Rev,Den,Leeann,Matschke,,20030625,1,7 Morrow Plaza,Oswaldtwistle,,Sheffield,United Kingdom,YO23 1YA,L2M4N9J7,20070816,,,,,01618888888,20221207,07777777777,20240501,lcraiggr@nih.gov,20240501,be,1,false,28,
New,20240524000000,29,3844532013,,NHS16A,20070221,ST5,20010306,AB1,20230411,Rev,Zane,Renaldo,Auden,,19921004,1,47 Utah Road,Swaffham,,Solihull,United Kingdom,IP8 4AN,B1R7D8Y6,20150424,,,,,01617777777,20210511,07888888888,20240501,rflemyngs@nyu.edu,20240501,en,0,false,29,
New,20240524000000,30,1068801050,,NHS32E,20080303,XY2,20080330,TU8,20230411,Ms,Shandy,,Lampart,,19810226,9,05062 Sullivan Junction,Melton Mowbray,,Ipswich,United Kingdom,IV36 2PH,Q1W2P5R9,20171004,,,,,01619999999,20230204,07799999999,20240501,mmacalistert@jugem.jp,20240501,nl,1,false,30,
Amended,20240524000000,31,6524251490,,NHS16B,20070521,GH7,20180129,IJ3,20230411,Mrs,Nelle,Charley,Skirlin,Slyde,20030719,1,409 Gerald Lane,Guildford,,Crawley,United Kingdom,TR9 6UF,K9H6G3F5,20150613,,,,,01619999999,20230715,07799999999,20240501,cslydeu@de.vu,20240501,ku,1,false,31,CR1
New,20240524000000,32,0396751482,5730476752,NHS23J,20121205,YZ8,20030930,XY2,20230411,Rev,Virgil,Clarice,Davidovitch,Cofax,19840529,9,80 Logan Trail,Doncaster,,Hastings,United Kingdom,DT9 5RX,L2M4N9J7,20130103,,,,,01617777777,20210413,07777777777,20240501,ccofaxv@posterous.com,20240501,en,0,false,32,
New,20240524000000,33,0148787762,,NHSJ23,20100910,CD3,20160702,KL4,20230411,Ms,Emmi,Analiese,Extance,,19900429,9,094 Eagle Crest Circle,Leighton Buzzard,,Swindon,United Kingdom,LS25 4SN,L2E8F7T2,20040512,,,20171019,2,01617777777,20220427,07799999999,20240501,aheavensw@phoca.cz,20240501,en,0,false,33,
New,20240524000000,34,1074061780,,NHSH23,20171109,GH7,20230729,IJ9,20230411,Honorable,Jillayne,Cherie,Saill,,19650325,9,93 Birchwood Court,Thornbury,,Nuneaton,United Kingdom,LL24 0BS,F5H6N2J7,20060802,,,,,01617777777,20201013,07777777777,20240501,clatchfordx@amazon.com,20240501,en,0,false,34,
Amended,20240524000000,35,4626778917,,NHSJ23,20090828,XY2,20130615,MN2,20230411,Honorable,Amelie,Jeanna,Savage,,19580701,1,905 Pennsylvania Center,Melton Mowbray,,Sheffield,United Kingdom,AB39 2TG,F5H6N2J7,20161113,,,,,01617777777,20210406,07799999999,20240501,jworboyy@shoppro.jp,20240501,it,1,false,35,CR1
New,20240524000000,36,1810288762,,NHS16A,20080505,YZ8,20240124,AB9,20230411,Rev,Winnie,Tera,Hague,,19590818,1,4419 Susan Plaza,Farnham,,Slough,United Kingdom,TR13 8BY,R8P3X7Z4,20130109,,,,,01617777777,20211011,07799999999,20240501,thawardenz@clickbank.net,20240501,de,1,false,36,
Removed,20240524000000,37,8112880417,,NHS36A,20010520,VW0,20060131,EF1,20230411,Rev,Catha,,Angeli,,19680221,1,3 International Alley,Uppingham,,Derby,United Kingdom,AB23 8YG,Y6A3B8K9,20190726,SDN,20230704,,,01618888888,20210501,07777777777,20240501,zjerdan10@chron.com,20240501,ja,1,true,37,
Amended,20240524000000,38,7199174047,,NHS16B,20080321,YZ8,20200312,CD0,20230411,Honorable,Kennett,Hoebart,Sempill,,19510704,1,5761 Mayer Plaza,Felixstowe,,Woking,United Kingdom,AB39 2TG,L2M4N9J7,20120229,,,,,01619999999,20210110,07799999999,20240501,hwenderott11@live.com,20240501,el,1,false,38,CR1
New,20240524000000,39,2247826555,,NHSH23,20051226,ST5,20070205,PQ4,20230411,Ms,Rhodia,Gill,Norbury,Stump,19870107,0,13760 Bashford Way,Loughborough,,Liverpool,United Kingdom,DE13 0TB,L2M4N9J7,20040708,,,,,01618888888,20230614,07777777777,20240501,gstump12@wired.com,20240501,es,1,false,39,
Amended,20240524000000,40,9334923954,,NHSH23,20201016,IJ3,20170107,UV6,20230411,Mr,Jessa,Willie,Lewis,,19850505,0,3 Glendale Way,Chatteris,,West Bromwich,United Kingdom,EX2 7EA,B1R7D8Y6,20140122,,,,,01617777777,20201005,07799999999,20240501,wjecks13@ft.com,20240501,vi,1,false,40,CR1
New,20240524000000,41,9390151929,,NHS12A,20030303,KL4,20210831,CD0,20230411,Ms,Leela,Ilse,Creber,,19480828,9,0463 Hudson Hill,Uttoxeter,,Brighton and Hove,United Kingdom,HR2 9UF,A3B8Y6K9,20050528,,,,,01619999999,20230427,07888888888,20240501,imillward14@mozilla.org,20240501,fr,1,false,41,
New,20240524000000,42,4906339174,0088126862,NHSPS2,20220110,IJ9,20110703,QR4,20230411,Mr,Chastity,Ericka,Rowbottom,,19840122,2,797 Mandrake Drive,RossonWye,,Dudley,United Kingdom,CA6 5PT,T4D9V1R8,20230723,,,,,01617777777,20210705,07777777777,20240501,epopping15@blogger.com,20240501,en,0,false,42,
New,20240524000000,43,6232458362,,NHS12A,20080304,MN5,20031203,GH2,20230411,Mr,Heida,,Bahike,Rosenblath,19900928,9,4804 Linden Place,Pontefract,,Bradford,United Kingdom,LL40 2QG,J7L2M4N9,20080917,,,,,01617777777,20230910,07777777777,20240501,crosenblath16@walmart.com,20240501,en,0,false,43,
New,20240524000000,44,2346598011,2282124138,NHS32E,20040821,TU8,20100322,CD0,20230411,Mr,Kynthia,,Albiston,,19750523,1,26 Oak Valley Terrace,Okehampton,,Gloucester,United Kingdom,PL26 8HQ,H6N2J7F5,20100112,,,,,01617777777,20230329,07888888888,20240501,bfroschauer17@google.de,20240501,en,0,false,44,
Amended,20240524000000,45,3293010180,,NHS36A,20030417,ST5,20000824,UV6,20230411,Ms,Kathryne,,Wordsley,,19600203,0,3 Declaration Avenue,Dunbar,,Brighton and Hove,United Kingdom,CA11 7YF,F5H6N2J7,20200602,,,,,01617777777,20210110,07799999999,20240501,rbeidebeke18@washington.edu,20240501,en,0,false,45,CR1
New,20240524000000,46,3612291491,,NHSJ23,20080612,RS6,20200714,EF5,20230411,Dr,Kiley,,Brotherheed,,19450622,1,0 Jana Street,Ulverston,,Gloucester,United Kingdom,RH2 7DG,E8F7L1T2,20180911,,,,,01619999999,20220411,07888888888,20240501,hmaunton19@flavors.me,20240501,en,0,false,46,
New,20240524000000,47,6565251371,,NHS11A,20130604,GH2,20001125,XY2,20230411,Dr,Kathye,Brietta,Ellse,,19561030,9,339 Arkansas Trail,Skegness,,Cannock,United Kingdom,PL16 9PA,Q1W2P5R9,20081029,,,,,01619999999,20200922,07888888888,20240501,bdomney1a@google.com.hk,20240501,ar,1,false,47,
Amended,20240524000000,48,2814847341,,NHS12A,20181025,IJ9,20141010,VW0,20230411,Ms,Korry,Edyth,Tuson,,19800118,0,6576 Rigney Alley,Oswestry,,High Wycombe,United Kingdom,SG19 2JY,X7Z4M8L2,20120515,,,,,01617777777,20220518,07777777777,20240501,edukesbury1b@dropbox.com,20240501,da,1,false,48,CR1
New,20240524000000,49,2477112392,,NHS36B,20040117,EF1,20120113,UV6,20230411,Mrs,Konstantine,,Jocic,Baybutt,19480403,2,99219 Ruskin Plaza,Evesham,,Eastleigh,United Kingdom,RH12 1BG,E8F7L1T2,20170407,,,,,01618888888,20220225,07888888888,20240501,zbaybutt1c@yellowbook.com,20240501,id,1,false,49,
Removed,20240524000000,50,5152329409,,NHS16B,20080722,RS6,20000718,AB9,20230411,Ms,Petronella,Chane,Pritty,Waple,19741113,1,6652 Macpherson Center,Pembroke,,Worthing,United Kingdom,SN14 0JP,W9G2K6P3,20171226,LDN,20230704,,,01618888888,20221115,07799999999,20240501,cwaple1d@jigsy.com,20240501,hr,1,true,50,
Amended,20240524000000,51,7468456631,,NHS12A,20200406,KL1,20090930,EF1,20230411,Honorable,Roxi,Carl,Wieprecht,,19830723,0,4 Mesta Junction,Kendal,,Edinburgh,United Kingdom,YO14 9TS,X7Z4M8L2,20221224,,,,,01618888888,20230709,07888888888,20240501,ccassley1e@google.com.hk,20240501,bn,1,false,51,CR1
New,20240524000000,52,3653690943,,NHS36A,20160526,YZ8,20201003,ST5,20230411,Dr,Lara,Pernell,Geraldini,,20030721,2,91 Coleman Parkway,Kirkby Lonsdale,,Cannock,United Kingdom,HR1 2AN,W9G2K6P3,20191028,,,,,01618888888,20220811,07799999999,20240501,psignoret1f@hud.gov,20240501,el,1,false,52,
New,20240524000000,53,0944289800,,NHSH23,20220218,EF1,20110328,UV6,20230411,Rev,Zaccaria,Brita,Scourgie,,20021214,1,791 Boyd Avenue,Axminster,,Blackburn,United Kingdom,TR9 6UF,J7L2M4N9,20230506,,,,,01618888888,20210704,07888888888,20240501,bburth1g@pcworld.com,20240501,fa,1,false,53,
New,20240524000000,54,5613508755,,NHS12A,20001104,OP3,20111006,VW0,20230411,Dr,Sashenka,Jarrod,Towner,,19981013,2,45 Mandrake Drive,Ormskirk,,Hartlepool,United Kingdom,AB25 1BE,S4Q5X9Z3,20171124,,,,,01618888888,20220806,07799999999,20240501,jdisney1h@behance.net,20240501,ca,1,false,54,
New,20240524000000,55,2106129696,,NHS20B,20091104,ST5,20071230,VW0,20230411,Dr,Eleonore,Arlyne,Bolino,,19520101,2,7906 Vernon Junction,Doncaster,,High Wycombe,United Kingdom,EX33 2ET,L2E8F7T2,20170806,,,,,01618888888,20220525,07777777777,20240501,adebischop1i@cbc.ca,20240501,th,1,false,55,
New,20240524000000,56,5245946564,,NHS23J,20130216,EF5,20030518,AB1,20230411,Mrs,Wini,Phillip,Jendas,Mott,19630404,1,7860 Lyons Avenue,Nelson,,Sutton,United Kingdom,WA3 2YJ,Y6B1R7D8,20070414,,,20091107,1,01617777777,20201115,07888888888,20240501,pmott1j@mediafire.com,20240501,hi,1,false,56,
Amended,20240524000000,57,8511214372,,NHS32E,20220930,AB9,20030706,CD0,20230411,Dr,John,Melloney,Lohrensen,,19571030,0,41818 Judy Parkway,Oswestry,,Manchester,United Kingdom,LL68 9PT,Y6B1R7D8,20000626,,,,,01619999999,20240430,07888888888,20240501,mcounihan1k@infoseek.co.jp,20240501,nl,1,false,57,CR1
Amended,20240524000000,58,5428987332,,NHS36A,20090109,ST5,20150304,YZ8,20230411,Mr,Claribel,Bennie,Newdick,,19550406,1,5 Service Drive,Kenilworth,,Luton,United Kingdom,WA2 9XN,L2M4N9J7,20240229,,,,,01619999999,20210118,07888888888,20240501,bchew1l@shinystat.com,20240501,en,0,false,58,CR1
Amended,20240524000000,59,3232637663,,NHS16A,20191013,UV6,20071207,OP3,20230411,Honorable,Rhona,Zelig,Garrattley,,19590507,2,64 Sherman Road,Haywards Heath,,Grimsby,United Kingdom,CT6 8AQ,K9H6G3F5,20091103,,,,,01617777777,20240229,07799999999,20240501,zcudbird1m@hud.gov,20240501,en,0,false,59,CR1
New,20240524000000,60,6242310430,,NHSJ23,20210409,TU8,20020926,MN5,20230411,Rev,Guillema,Robina,Beverstock,,19930108,0,44 Corben Center,Bridport,,Guildford,United Kingdom,YO8 9HN,Z3S4Q5X9,20150928,,,,,01617777777,20220530,07777777777,20240501,rcastells1n@wikia.com,20240501,en,0,false,60,
New,20240524000000,61,8634310795,,NHS23J,20150906,IJ3,20080704,MN2,20230411,Mrs,Andreana,,Gallamore,,19840715,2,2 Cordelia Hill,Melton Mowbray,,Chesterfield,United Kingdom,HR6 9TN,L2M4N9J7,20231206,,,,,01618888888,20220923,07799999999,20240501,aclaxton1o@dmoz.org,20240501,te,1,false,61,
New,20240524000000,62,5263291973,,NHS36B,20050602,KL1,20000809,GH7,20230411,Mrs,Yule,,Stainton,,19740310,1,28 Lyons Park,Tiverton,,Walsall,United Kingdom,OL5 9PD,D9V1T4R8,20040903,,,,,01618888888,20220312,07888888888,20240501,lchitson1p@privacy.gov.au,20240501,en,0,false,62,
New,20240524000000,63,7567690020,,NHS20B,20010126,TU8,20011213,GH2,20230411,Mr,Aimil,Sutherland,Gohn,,20010530,0,02665 Badeau Road,Johnstone,,Chesterfield,United Kingdom,B14 6RG,L2E8F7T2,20081022,,,20110125,2,01619999999,20210524,07777777777,20240501,swilcockes1q@freewebs.com,20240501,en,0,false,63,
Removed,20240524000000,64,6137030199,,NHS19C,20160906,ST5,20080411,MN5,20230411,Rev,Felicle,Dede,McClymont,Fumagalli,19970423,9,3 Hoffman Road,Bognor Regis,,Hartlepool,United Kingdom,YO30 1XZ,Y6B1R7D8,20070306,NIT,20230704,,,01617777777,20210621,07888888888,20240501,dfumagalli1r@paypal.com,20240501,ur,1,true,64,
New,20240524000000,65,4040362489,,NHS20B,20220718,ST5,20030622,KL4,20230411,Honorable,Phillipp,,Garmans,Grenshields,19550304,2,9098 Jenifer Road,Bracknell,,Middlesbrough,United Kingdom,BD22 7QH,Y6A3B8K9,20101115,,,,,01619999999,20230208,07799999999,20240501,tgrenshields1s@about.com,20240501,en,0,false,65,
New,20240524000000,66,5147961941,,NHSH23,20240329,AB9,20231226,EF5,20230411,Honorable,Derrik,Charmine,Whalley,,19951020,0,32 Banding Lane,Margate,,Basingstoke,United Kingdom,AB32 6JS,X7Z4M8L2,20161003,,,,,01618888888,20210128,07777777777,20240501,craunds1t@imageshack.us,20240501,en,0,false,66,
Amended,20240524000000,67,8577309622,,NHS11A,20220928,KL1,20231223,CD0,20230411,Rev,Swen,Stanislaw,Weson,,20020114,0,17124 Miller Plaza,Sandbach,,Blackburn,United Kingdom,EX34 8JN,Y6A3B8K9,20081231,,,20071218,1,01618888888,20240206,07799999999,20240501,sluck1u@globo.com,20240501,hr,1,false,67,CR1
Amended,20240524000000,68,8719201915,,NHS16A,20121124,OP3,20200408,KL1,20230411,Mrs,Emlynn,Claybourne,Tellwright,Voules,19831113,2,6 Dayton Trail,Usk,,Bolton,United Kingdom,EX6 7RD,A3B8Y6K9,20220503,,,,,01617777777,20230906,07799999999,20240501,cvoules1v@jimdo.com,20240501,ca,1,false,68,CR1
New,20240524000000,69,5097951581,5865590634,NHS12A,20140920,PQ4,20200331,GH2,20230411,Dr,Vladamir,Ginnifer,Vesco,Wooffinden,19940424,0,40930 Northfield Drive,Crediton,,SouthendonSea,United Kingdom,EX34 9SX,Z3S4Q5X9,20171002,,,20040621,1,01619999999,20210218,07888888888,20240501,gwooffinden1w@cbsnews.com,20240501,en,0,false,69,
New,20240524000000,70,4498301676,,NHSPS2,20110320,GH7,20010604,WX7,20230411,Dr,Gweneth,,Fransoni,,19971215,9,4504 Commercial Hill,Cockermouth,,Plymouth,United Kingdom,FY4 1BZ,L2M4N9J7,20050813,,,,,01617777777,20221001,07777777777,20240501,grodway1x@economist.com,20240501,th,1,false,70,
New,20240524000000,71,8818555014,,NHS16B,20231231,MN2,20000817,XY2,20230411,Rev,Dixie,Francyne,Harbert,Angeau,19620414,1,57 Gateway Way,Edenbridge,,Chester,United Kingdom,SG19 1LB,A3B8Y6K9,20220601,,,,,01619999999,20220502,07888888888,20240501,fangeau1y@icio.us,20240501,eu,1,false,71,
New,20240524000000,72,7011697853,,NHS36A,20170616,PQ4,20230311,ST5,20230411,Dr,Rafe,Lorna,Mityushin,,19920531,9,390 Anderson Street,Ramsgate,,Walsall,United Kingdom,S66 7DY,A3B8Y6K9,20170119,,,,,01617777777,20211124,07888888888,20240501,lmillin1z@ca.gov,20240501,en,0,false,72,
Amended,20240524000000,73,9660936362,,NHS20B,20150213,MN2,20040404,UV6,20230411,Honorable,Rory,Olwen,Schulze,,19760502,0,9980 Fairview Court,Yateley,,Harlow,United Kingdom,WA8 3SP,K9H6G3F5,20210504,,,,,01619999999,20200926,07799999999,20240501,onaisey20@ehow.com,20240501,en,0,false,73,CR1
Removed,20240524000000,74,7443909985,,NHSPS2,20100817,VW0,20150712,GH2,20230411,Honorable,Samuel,Fifine,Tottie,,19971123,1,1 Monument Trail,Northallerton,,Saint Albans,United Kingdom,SY21 8SZ,B1R7D8Y6,20020825,SCT,20230704,20200507,2,01619999999,20230212,07799999999,20240501,fgrocock21@ed.gov,20240501,ro,1,true,74,
Removed,20240524000000,75,7224710733,,NHS12A,20120815,KL1,20231208,UV6,20230411,Mr,Roma,Amye,McGuirk,,19720607,9,71365 Farragut Place,Guildford,,West Bromwich,United Kingdom,SY9 5RS,K9H6G3F5,20080327,TRA,20230704,,,01617777777,20200906,07888888888,20240501,ascrymgeour22@squidoo.com,20240501,es,1,true,75,
New,20240524000000,76,7767504727,,NHSH23,20201030,MN2,20030716,EF5,20230411,Honorable,Erda,Maurine,Dishmon,,19751130,9,6 Lighthouse Bay Pass,Kidderminster,,Bolton,United Kingdom,BD21 3PJ,T4D9V1R8,20041123,,,,,01618888888,20200930,07888888888,20240501,maucock23@dagondesign.com,20240501,en,0,false,76,
